id,asset_id,side,price,size,placed_ts,baseline_filled,baseline_ttf,queue_filled,queue_ttf,diff,queueAhead0,filled_size,reason
ord-0-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-0-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-2-A,8838690940631108527048181272855936786008275308935355455406740809777377823660,BUY,0.01,10,1769109820493,0,0,0,0,0,55922.33,0,OPEN
ord-2-B,8838690940631108527048181272855936786008275308935355455406740809777377823660,BUY,0.009,10,1769109820493,0,0,0,0,0,49769.39,0,OPEN
ord-4-A,107497259924014101120833054359244209179064033764980103636954562467069199808803,BUY,0.01,10,1769109822548,0,0,0,0,0,55922.33,0,OPEN
ord-4-B,107497259924014101120833054359244209179064033764980103636954562467069199808803,BUY,0.009,10,1769109822548,0,0,0,0,0,49769.39,0,OPEN
ord-6-A,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.05,10,1769109823558,0,0,0,0,0,4553.98,0,OPEN
ord-6-B,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.04,10,1769109823558,0,0,0,0,0,16201.08,0,OPEN
ord-8-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109826563,0,0,0,0,0,1010,0,OPEN
ord-8-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109826563,0,0,0,0,0,1708.54,0,OPEN
ord-10-A,109742736962312251829429505249844464481009469599654156786681123946719841287723,BUY,0.003,10,1769109827563,0,0,0,0,0,16442.74,0,OPEN
ord-10-B,109742736962312251829429505249844464481009469599654156786681123946719841287723,BUY,0.002,10,1769109827563,0,0,0,0,0,108221.64,0,OPEN
ord-12-A,75562986572078747541577175725857968095799345857741050112699871710798605147441,BUY,0.001,10,1769109828566,0,0,0,0,0,527086.21,0,OPEN
ord-12-B,75562986572078747541577175725857968095799345857741050112699871710798605147441,BUY,0.001,10,1769109828566,0,0,0,0,0,527086.21,0,OPEN
ord-14-A,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.05,10,1769109831661,0,0,0,0,0,4553.98,0,OPEN
ord-14-B,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.04,10,1769109831661,0,0,0,0,0,16201.08,0,OPEN
ord-16-A,31167532153450638526564509379216016814499874840833154348394853115050097836415,BUY,0.065,10,1769109833994,0,0,0,0,0,222,0,OPEN
ord-16-B,31167532153450638526564509379216016814499874840833154348394853115050097836415,BUY,0.061,10,1769109833994,0,0,0,0,0,222,0,OPEN
ord-18-A,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.05,10,1769109837307,0,0,0,0,0,4553.98,0,OPEN
ord-18-B,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.04,10,1769109837307,0,0,0,0,0,16201.08,0,OPEN
ord-20-A,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.05,10,1769109845479,0,0,0,0,0,4553.98,0,OPEN
ord-20-B,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.04,10,1769109845479,0,0,0,0,0,16201.08,0,OPEN
ord-22-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109847509,0,0,0,0,0,1010,0,OPEN
ord-22-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109847509,0,0,0,0,0,1708.54,0,OPEN
ord-24-A,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.008,10,1769109848514,0,0,0,0,0,3655.01,0,OPEN
ord-24-B,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.007,10,1769109848514,0,0,0,0,0,6775.94,0,OPEN
ord-26-A,32087556102494098358189004916291893731817375241943118224601114766541240940770,BUY,0.008,10,1769109853632,0,0,0,0,0,3655.01,0,OPEN
ord-26-B,32087556102494098358189004916291893731817375241943118224601114766541240940770,BUY,0.007,10,1769109853632,0,0,0,0,0,6775.94,0,OPEN
ord-28-A,12517852287819593117096773184674818051503519306271068998598322320921621987078,BUY,0.003,10,1769109854644,0,0,0,0,0,16442.74,0,OPEN
ord-28-B,12517852287819593117096773184674818051503519306271068998598322320921621987078,BUY,0.002,10,1769109854644,0,0,0,0,0,108221.64,0,OPEN
